segment_code,hebrew_name,english_name,households_in_sample,position
281,יהודה והשומרון,Judea & Samaria,281,1
471,באר שבע,Be'er Sheva,471,2
405,אשקלון,Ashqelon,405,3
117,חולון,Holon,117,4
132,רמת גן,Ramat Gan,132,5
218,תל אביב,Tel Aviv,218,6
362,רחובות,Rehovot,362,7
260,רמלה,Ramla,260,8
230,פתח תקווה,Petah Tiqwa,230,9
143,השרון,Sharon,143,10
323,חדרה,Hadera,323,11
551,חיפה,Haifa,551,12
481,עכו,Akko,481,13
421,יזרעאל,Yizre'el,421,14
200,"צפת, כנרת וגולן","Zefat, Kinneret & Golan",200,15
883,ירושלים,Jerusalem,883,16
